il,yil,gosterge_kodu,gosterge,deger
Mersin,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.52
Muğla,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.15
Muş,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.82
Nevşehir,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.38
Niğde,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.45
Ordu,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.79
Osmaniye,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.41
Rize,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.31
Sakarya,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.98
Samsun,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.49
Siirt,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.58
Sinop,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.58
Sivas,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.21
Tekirdağ,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.73
Tokat,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.56
Trabzon,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.13
Tunceli,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.82
Uşak,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.38
Van,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.61
Yalova,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.26
Yozgat,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.81
Zonguldak,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.59
Çanakkale,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.57
Çankırı,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.5
Çorum,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.94
İstanbul,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.53
İzmir,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.79
Şanlıurfa,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.0
Şırnak,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.25
Adana,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.17
Adıyaman,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.09
Afyon,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.01
Aksaray,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.93
Amasya,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.47
Ankara,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.32
Antalya,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.96
Ardahan,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.02
Artvin,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.99
